Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,ROC,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,STD,ATR,OBV,ADL,L14,H14,%K,%D,CMF,Williams %R,Pivot,Pivot_R1,Pivot_S1
2023-07-17,36.38999938964844,36.70000076293945,36.16999816894531,36.33000183105469,35.316036224365234,3981700,35.21496784513089,36.33000183105469,-0.035677649483383804,45.72551621184303,0.0,0.0,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,0.0,-1577611.4591505502,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,36.40000025431315,36.630002339680985,36.099999745686844
2023-07-18,36.36000061035156,38.25,36.29999923706055,37.880001068115234,36.82278060913086,4377000,35.21496784513089,36.47762080601284,4.266444147920789,45.72551621184303,0.123646662785454,0.0247293325570908,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,4377000.0,1138378.6011216429,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,37.47666676839193,38.65333429972331,36.70333353678386
2023-07-19,37.880001068115234,38.56999969482422,37.779998779296875,38.029998779296875,36.96859359741211,3503600,35.21496784513089,36.625466327277984,0.39598127495275026,45.72551621184303,0.23107737938927642,0.06599894192352793,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,7880600.0,-147755.61425881227,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,38.12666575113932,38.473332722981766,37.68333180745442
2023-07-20,38.29999923706055,38.38999938964844,37.59000015258789,37.970001220703125,37.15451431274414,3524900,35.21496784513089,36.75351726950895,-0.15776376681455595,45.72551621184303,0.3078272537706752,0.11436460429295739,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,4355700.0,-323988.00822204805,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,37.983333587646484,38.37666702270508,37.57666778564453
2023-07-21,38.18000030517578,38.7400016784668,37.650001525878906,38.63999938964844,37.810123443603516,4368600,35.21496784513089,36.933182233331756,1.7645460821844594,45.72551621184303,0.4178980662215821,0.17507129667868235,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,8724300.0,3243015.7756771315,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,38.34333419799805,39.03666687011719,37.9466667175293
2023-07-24,38.77000045776367,39.720001220703125,38.619998931884766,39.279998779296875,38.436378479003906,4544700,35.21496784513089,37.15668857104272,1.6563131463710468,45.72551621184303,0.5504275934844713,0.25014255603984015,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,13269000.0,4151943.1672272477,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,39.20666631062826,39.79333368937175,38.69333140055339
2023-07-25,39.0,39.90999984741211,38.86000061035156,39.56999969482422,38.720149993896484,4782200,35.21496784513089,37.38652772568858,0.7382915594187578,45.72551621184303,0.6711225657298243,0.33433855797783696,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,18051200.0,5837095.717445049,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,39.4466667175293,40.03333282470703,38.983333587646484
2023-07-26,39.16999816894531,40.040000915527344,39.0,39.9900016784668,39.13113021850586,5387900,35.21496784513089,37.634477625953174,1.0614151803936211,45.72551621184303,0.7915404650077349,0.4257789393838166,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,23439100.0,10706936.770887444,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,39.67666753133138,40.353335062662765,39.31333414713542
2023-07-27,40.5,40.7599983215332,39.36000061035156,39.47999954223633,38.632080078125,4127500,35.21496784513089,37.81024161798015,-1.2753241180909702,45.72551621184303,0.8361806377340599,0.5078592790538653,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,19311600.0,7287003.058172764,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,39.86666615804037,40.37333170572917,38.97333399454753
2023-07-28,39.790000915527344,40.209999084472656,39.279998779296875,40.150001525878906,39.28769302368164,2765300,35.21496784513089,38.03307589492288,1.697066847545936,45.72551621184303,0.9150734596451642,0.5893021151721252,35.21496784513089,37.66949200188352,32.76044368837827,1.2272620783763108,1.0193218915831714,22076900.0,9695504.790783083,33.11619240669027,37.342259778138484,43.31235898203486,42.88325418033329,-0.061916860672540576,-56.68764101796514,39.87999979654948,40.48000081380208,39.5500005086263
